,amount,date,formatted_date,type,ticker,numerator,denominator,splitRatio
0,1.12487,1430312400,2015-04-29,DIVIDEND,PATI4,,,
1,1.15168,1461762000,2016-04-27,DIVIDEND,PATI4,,,
2,1.14342,1493298000,2017-04-27,DIVIDEND,PATI4,,,
3,1.3918,1554382800,2019-04-04,DIVIDEND,PATI4,,,
4,1.06606,1365685200,2013-04-11,DIVIDEND,PATI4,,,
5,1.18953,1523019600,2018-04-06,DIVIDEND,PATI4,,,
6,0.42376,1272546000,2010-04-29,DIVIDEND,PATI4,,,
7,1.00381,1335445200,2012-04-26,DIVIDEND,PATI4,,,
8,1.34149,1398430800,2014-04-25,DIVIDEND,PATI4,,,
9,0.962588,1304341200,2011-05-02,DIVIDEND,PATI4,,,
10,,1378990800,2013-09-12,SPLIT,PATI4,105.0,100.0,100/105
11,,1214398800,2008-06-25,SPLIT,PATI4,103.0,100.0,100/103
12,,1400158800,2014-05-15,SPLIT,PATI4,1.0,1.0,1/1
13,,1471525200,2016-08-18,SPLIT,PATI4,104.0,100.0,100/104
14,,1365685200,2013-04-11,SPLIT,PATI4,100.0,100.0,100/100
15,,1374066000,2013-07-17,SPLIT,PATI4,105.0,100.0,100/105
16,,1418212800,2014-12-10,SPLIT,PATI4,112.0,100.0,100/112
17,,1272546000,2010-04-29,SPLIT,PATI4,102.0,100.0,100/102
18,,1337778000,2012-05-23,SPLIT,PATI4,101.0,100.0,100/101
19,,1306501200,2011-05-27,SPLIT,PATI4,1.0,1.0,1/1
20,0.186108,1430312400,2015-04-29,DIVIDEND,PATI3,,,
21,0.114817,1461762000,2016-04-27,DIVIDEND,PATI3,,,
22,0.159096,1493298000,2017-04-27,DIVIDEND,PATI3,,,
23,0.831303,1554382800,2019-04-04,DIVIDEND,PATI3,,,
24,0.239083,1365685200,2013-04-11,DIVIDEND,PATI3,,,
25,0.190052,1523019600,2018-04-06,DIVIDEND,PATI3,,,
26,0.147116,1272546000,2010-04-29,DIVIDEND,PATI3,,,
27,0.308088,1335445200,2012-04-26,DIVIDEND,PATI3,,,
28,0.303785,1398430800,2014-04-25,DIVIDEND,PATI3,,,
29,0.51625,1239195600,2009-04-08,DIVIDEND,PATI3,,,
30,0.51934,1304341200,2011-05-02,DIVIDEND,PATI3,,,
31,,1128344400,2005-10-03,SPLIT,PATI3,1.0,40.0,40/1
32,,1378990800,2013-09-12,SPLIT,PATI3,105.0,100.0,100/105
33,,1214398800,2008-06-25,SPLIT,PATI3,103.0,100.0,100/103
34,,1400158800,2014-05-15,SPLIT,PATI3,1.0,1.0,1/1
35,,1471525200,2016-08-18,SPLIT,PATI3,104.0,100.0,100/104
36,,1365685200,2013-04-11,SPLIT,PATI3,100.0,100.0,100/100
37,,1374066000,2013-07-17,SPLIT,PATI3,105.0,100.0,100/105
38,,1418212800,2014-12-10,SPLIT,PATI3,112.0,100.0,100/112
39,,1272546000,2010-04-29,SPLIT,PATI3,102.0,100.0,100/102
40,,1337778000,2012-05-23,SPLIT,PATI3,101.0,100.0,100/101
41,,1306501200,2011-05-27,SPLIT,PATI3,103.0,100.0,100/103
42,1.0,1399035600,2014-05-02,DIVIDEND,BAHI3,,,
43,1.0,1334149200,2012-04-11,DIVIDEND,BAHI3,,,
44,2.0,1288094400,2010-10-26,DIVIDEND,BAHI3,,,
45,1.0,1364821200,2013-04-01,DIVIDEND,BAHI3,,,
46,0.641862,1494853200,2017-05-15,DIVIDEND,BAHI3,,,
47,2.2233,1274706000,2010-05-24,DIVIDEND,BAHI3,,,
48,0.5,1429880400,2015-04-24,DIVIDEND,BAHI3,,,
49,,1478001600,2016-11-01,SPLIT,BAHI3,1.0,10.0,10/1
50,,1303131600,2011-04-18,SPLIT,BAHI3,11.0,10.0,10/11
51,,1272891600,2010-05-03,SPLIT,BAHI3,1.0,1.0,1/1
52,,1477915200,2016-10-31,SPLIT,BAHI3,1.0,10.0,10/1
53,0.0159953,1330693200,2012-03-02,DIVIDEND,BBDC4,,,
54,0.018974,1572868800,2019-11-04,DIVIDEND,BBDC4,,,
55,0.018975,1480680000,2016-12-02,DIVIDEND,BBDC4,,,
56,0.0207,1372770000,2013-07-02,DIVIDEND,BBDC4,,,
57,0.018974,1507035600,2017-10-03,DIVIDEND,BBDC4,,,
58,0.014541,1238677200,2009-04-02,DIVIDEND,BBDC4,,,
59,0.018975,1456923600,2016-03-02,DIVIDEND,BBDC4,,,
60,0.0145412,1296648000,2011-02-02,DIVIDEND,BBDC4,,,
61,0.0175948,1364907600,2013-04-02,DIVIDEND,BBDC4,,,
62,0.018974,1499173200,2017-07-04,DIVIDEND,BBDC4,,,
63,0.0207,1407157200,2014-08-04,DIVIDEND,BBDC4,,,
64,0.014541,1288785600,2010-11-03,DIVIDEND,BBDC4,,,
65,0.018974,1522760400,2018-04-03,DIVIDEND,BBDC4,,,
66,0.013219,1212498000,2008-06-03,DIVIDEND,BBDC4,,,
67,0.0175948,1346763600,2012-09-04,DIVIDEND,BBDC4,,,
68,0.0159953,1322827200,2011-12-02,DIVIDEND,BBDC4,,,
69,0.018974,1549281600,2019-02-04,DIVIDEND,BBDC4,,,
70,0.157469,1423569600,2015-02-10,DIVIDEND,BBDC4,,,
71,0.018975,1472821200,2016-09-02,DIVIDEND,BBDC4,,,
72,0.282394,1482408000,2016-12-22,DIVIDEND,BBDC4,,,
73,0.014541,1246539600,2009-07-02,DIVIDEND,BBDC4,,,
74,0.033836,1204635600,2008-03-04,DIVIDEND,BBDC4,,,
75,0.018975,1449057600,2015-12-02,DIVIDEND,BBDC4,,,
76,0.018974,1541419200,2018-11-05,DIVIDEND,BBDC4,,,
77,0.013219,1231156800,2009-01-05,DIVIDEND,BBDC4,,,
78,0.0175948,1341320400,2012-07-03,DIVIDEND,BBDC4,,,
79,0.018975,1475586000,2016-10-04,DIVIDEND,BBDC4,,,
80,0.0175948,1357214400,2013-01-03,DIVIDEND,BBDC4,,,
81,0.0175948,1333458000,2012-04-03,DIVIDEND,BBDC4,,,
82,0.018974,1483444800,2017-01-03,DIVIDEND,BBDC4,,,
83,0.0159953,1314968400,2011-09-02,DIVIDEND,BBDC4,,,
84,0.014541,1257336000,2009-11-04,DIVIDEND,BBDC4,,,
85,0.018974,1491310800,2017-04-04,DIVIDEND,BBDC4,,,
86,0.018974,1533214800,2018-08-02,DIVIDEND,BBDC4,,,
87,0.013219,1222952400,2008-10-02,DIVIDEND,BBDC4,,,
88,0.018975,1441198800,2015-09-02,DIVIDEND,BBDC4,,,
89,0.0207,1383566400,2013-11-04,DIVIDEND,BBDC4,,,
90,0.0207,1399294800,2014-05-05,DIVIDEND,BBDC4,,,
91,0.0207,1349182800,2012-10-02,DIVIDEND,BBDC4,,,
92,0.213209,1392120000,2014-02-11,DIVIDEND,BBDC4,,,
93,0.189778,1466686800,2016-06-23,DIVIDEND,BBDC4,,,
94,0.018974,1525352400,2018-05-03,DIVIDEND,BBDC4,,,
95,0.016855,1199361600,2008-01-03,DIVIDEND,BBDC4,,,
96,0.553717,1576843200,2019-12-20,DIVIDEND,BBDC4,,,
97,0.451102,1291723200,2010-12-07,DIVIDEND,BBDC4,,,
98,0.0145412,1299070800,2011-03-02,DIVIDEND,BBDC4,,,
99,0.0145412,1309784400,2011-07-04,DIVIDEND,BBDC4,,,
100,0.018975,1435842000,2015-07-02,DIVIDEND,BBDC4,,,
101,0.018974,1543924800,2018-12-04,DIVIDEND,BBDC4,,,
102,0.014541,1233662400,2009-02-03,DIVIDEND,BBDC4,,,
103,0.0207,1394110800,2014-03-06,DIVIDEND,BBDC4,,,
104,0.0145412,1301922000,2011-04-04,DIVIDEND,BBDC4,,,
105,0.018974,1519995600,2018-03-02,DIVIDEND,BBDC4,,,
106,0.018974,1562072400,2019-07-02,DIVIDEND,BBDC4,,,
107,0.018975,1427979600,2015-04-02,DIVIDEND,BBDC4,,,
108,0.013219,1225800000,2008-11-04,DIVIDEND,BBDC4,,,
109,0.014541,1241528400,2009-05-05,DIVIDEND,BBDC4,,,
110,0.018975,1501678800,2017-08-02,DIVIDEND,BBDC4,,,
111,0.018975,1459774800,2016-04-04,DIVIDEND,BBDC4,,,
112,0.0175948,1367586000,2013-05-03,DIVIDEND,BBDC4,,,
113,0.0207,1409662800,2014-09-02,DIVIDEND,BBDC4,,,
114,0.018974,1493816400,2017-05-03,DIVIDEND,BBDC4,,,
115,0.467271,1260187200,2009-12-07,DIVIDEND,BBDC4,,,
116,0.014541,1267534800,2010-03-02,DIVIDEND,BBDC4,,,
117,0.0207,1386072000,2013-12-03,DIVIDEND,BBDC4,,,
118,0.0207,1401800400,2014-06-03,DIVIDEND,BBDC4,,,
119,0.018974,1536066000,2018-09-04,DIVIDEND,BBDC4,,,
120,0.018974,1496408400,2017-06-02,DIVIDEND,BBDC4,,,
121,0.018974,1538485200,2018-10-02,DIVIDEND,BBDC4,,,
122,0.730202,1545825600,2018-12-26,DIVIDEND,BBDC4,,,
123,0.014541,1270472400,2010-04-05,DIVIDEND,BBDC4,,,
124,0.0207,1420459200,2015-01-05,DIVIDEND,BBDC4,,,
125,0.018974,1530622800,2018-07-03,DIVIDEND,BBDC4,,,
126,0.013219,1220360400,2008-09-02,DIVIDEND,BBDC4,,,
127,0.018974,1546516800,2019-01-03,DIVIDEND,BBDC4,,,
128,0.018974,1554210000,2019-04-02,DIVIDEND,BBDC4,,,
129,0.013219,1228219200,2008-12-02,DIVIDEND,BBDC4,,,
130,0.014541,1243947600,2009-06-02,DIVIDEND,BBDC4,,,
131,0.0207,1378213200,2013-09-03,DIVIDEND,BBDC4,,,
132,0.0415161,1329134400,2012-02-13,DIVIDEND,BBDC4,,,
133,0.14541,1277816400,2010-06-29,DIVIDEND,BBDC4,,,
134,0.014541,1286197200,2010-10-04,DIVIDEND,BBDC4,,,
135,0.018975,1446638400,2015-11-04,DIVIDEND,BBDC4,,,
136,0.207022,1403701200,2014-06-25,DIVIDEND,BBDC4,,,
137,0.014541,1236085200,2009-03-03,DIVIDEND,BBDC4,,,
138,0.0175948,1354622400,2012-12-04,DIVIDEND,BBDC4,,,
139,0.0207,1370350800,2013-06-04,DIVIDEND,BBDC4,,,
140,0.0207,1412254800,2014-10-02,DIVIDEND,BBDC4,,,
141,0.018975,1464872400,2016-06-02,DIVIDEND,BBDC4,,,
142,0.014541,1262692800,2010-01-05,DIVIDEND,BBDC4,,,
143,0.014541,1280840400,2010-08-03,DIVIDEND,BBDC4,,,
144,0.189743,1499086800,2017-07-03,DIVIDEND,BBDC4,,,
145,0.018974,1514980800,2018-01-03,DIVIDEND,BBDC4,,,
146,0.020699,1422964800,2015-02-03,DIVIDEND,BBDC4,,,
147,0.018975,1438693200,2015-08-04,DIVIDEND,BBDC4,,,
148,0.018974,1564750800,2019-08-02,DIVIDEND,BBDC4,,,
149,0.014541,1254488400,2009-10-02,DIVIDEND,BBDC4,,,
150,0.0207,1415102400,2014-11-04,DIVIDEND,BBDC4,,,
151,0.01725,1430830800,2015-05-05,DIVIDEND,BBDC4,,,
152,0.0175948,1338814800,2012-06-04,DIVIDEND,BBDC4,,,
153,0.0207,1380718800,2013-10-02,DIVIDEND,BBDC4,,,
154,0.018974,1556888400,2019-05-03,DIVIDEND,BBDC4,,,
155,0.019829,1207141200,2008-04-02,DIVIDEND,BBDC4,,,
156,0.0207,1425387600,2015-03-03,DIVIDEND,BBDC4,,,
157,0.018974,1559653200,2019-06-04,DIVIDEND,BBDC4,,,
158,0.018974,1575374400,2019-12-03,DIVIDEND,BBDC4,,,
159,0.014541,1249390800,2009-08-04,DIVIDEND,BBDC4,,,
160,0.014541,1265112000,2010-02-02,DIVIDEND,BBDC4,,,
161,0.018974,1551877200,2019-03-06,DIVIDEND,BBDC4,,,
162,0.018975,1467637200,2016-07-04,DIVIDEND,BBDC4,,,
163,0.0207,1375448400,2013-08-02,DIVIDEND,BBDC4,,,
164,0.014541,1283432400,2010-09-02,DIVIDEND,BBDC4,,,
165,0.01454,1272978000,2010-05-04,DIVIDEND,BBDC4,,,
166,0.0207,1391515200,2014-02-04,DIVIDEND,BBDC4,,,
167,0.844478,1450353600,2015-12-17,DIVIDEND,BBDC4,,,
168,0.553717,1576238400,2019-12-13,DIVIDEND,BBDC4,,,
169,0.018974,1517572800,2018-02-02,DIVIDEND,BBDC4,,,
170,0.014541,1291291200,2010-12-02,DIVIDEND,BBDC4,,,
171,0.0145412,1307019600,2011-06-02,DIVIDEND,BBDC4,,,
172,0.132192,1214830800,2008-06-30,DIVIDEND,BBDC4,,,
173,0.441119,1199275200,2008-01-02,DIVIDEND,BBDC4,,,
174,0.013219,1215003600,2008-07-02,DIVIDEND,BBDC4,,,
175,0.018974,1509710400,2017-11-03,DIVIDEND,BBDC4,,,
176,0.0207,1417521600,2014-12-02,DIVIDEND,BBDC4,,,
177,0.018975,1433250000,2015-06-02,DIVIDEND,BBDC4,,,
178,0.018974,1567515600,2019-09-03,DIVIDEND,BBDC4,,,
179,0.0159953,1325592000,2012-01-03,DIVIDEND,BBDC4,,,
180,0.018974,1570021200,2019-10-02,DIVIDEND,BBDC4,,,
181,0.018974,1528117200,2018-06-04,DIVIDEND,BBDC4,,,
182,0.013219,1217854800,2008-08-04,DIVIDEND,BBDC4,,,
183,0.0175948,1343912400,2012-08-02,DIVIDEND,BBDC4,,,
184,0.18979,1561986000,2019-07-01,DIVIDEND,BBDC4,,,
185,0.018975,1451995200,2016-01-05,DIVIDEND,BBDC4,,,
186,0.014541,1251896400,2009-09-02,DIVIDEND,BBDC4,,,
187,0.013219,1209992400,2008-05-05,DIVIDEND,BBDC4,,,
188,0.0207,1359979200,2013-02-04,DIVIDEND,BBDC4,,,
189,0.018974,1578052800,2020-01-03,DIVIDEND,BBDC4,,,
190,0.018974,1486036800,2017-02-02,DIVIDEND,BBDC4,,,
191,0.014541,1259755200,2009-12-02,DIVIDEND,BBDC4,,,
192,0.01454,1275483600,2010-06-02,DIVIDEND,BBDC4,,,
193,0.0175948,1352116800,2012-11-05,DIVIDEND,BBDC4,,,
194,0.6494,1419336000,2014-12-23,DIVIDEND,BBDC4,,,
195,0.189892,1435064400,2015-06-23,DIVIDEND,BBDC4,,,
196,0.0159953,1317733200,2011-10-04,DIVIDEND,BBDC4,,,
197,0.018975,1478174400,2016-11-03,DIVIDEND,BBDC4,,,
198,0.018975,1443790800,2015-10-02,DIVIDEND,BBDC4,,,
199,0.014541,1294142400,2011-01-04,DIVIDEND,BBDC4,,,
200,0.0175948,1362402000,2013-03-04,DIVIDEND,BBDC4,,,
201,0.0207,1404306000,2014-07-02,DIVIDEND,BBDC4,,,
202,0.018974,1512388800,2017-12-04,DIVIDEND,BBDC4,,,
203,0.0145412,1312290000,2011-08-02,DIVIDEND,BBDC4,,,
204,0.018974,1488459600,2017-03-02,DIVIDEND,BBDC4,,,
205,0.016855,1202299200,2008-02-06,DIVIDEND,BBDC4,,,
206,0.0159953,1328184000,2012-02-02,DIVIDEND,BBDC4,,,
207,0.189711,1530536400,2018-07-02,DIVIDEND,BBDC4,,,
208,0.0207,1396443600,2014-04-02,DIVIDEND,BBDC4,,,
209,0.0145412,1304427600,2011-05-03,DIVIDEND,BBDC4,,,
210,0.018975,1454414400,2016-02-02,DIVIDEND,BBDC4,,,
211,0.018975,1470142800,2016-08-02,DIVIDEND,BBDC4,,,
212,0.0159953,1320321600,2011-11-03,DIVIDEND,BBDC4,,,
213,0.0175948,1336050000,2012-05-03,DIVIDEND,BBDC4,,,
214,0.018975,1462280400,2016-05-03,DIVIDEND,BBDC4,,,
215,0.829911,1513944000,2017-12-22,DIVIDEND,BBDC4,,,
216,0.01454,1278075600,2010-07-02,DIVIDEND,BBDC4,,,
217,0.018975,1504530000,2017-09-04,DIVIDEND,BBDC4,,,
218,,1364302800,2013-03-26,SPLIT,BBDC4,11.0,10.0,10/11
219,,1522674000,2018-04-02,SPLIT,BBDC4,11.0,10.0,10/11
220,,1554123600,2019-04-01,SPLIT,BBDC4,12.0,10.0,10/12
221,,1460984400,2016-04-18,SPLIT,BBDC4,11.0,10.0,10/11
222,,1427461200,2015-03-27,SPLIT,BBDC4,12.0,10.0,10/12
223,,1493730000,2017-05-02,SPLIT,BBDC4,11.0,10.0,10/11
224,,1207573200,2008-04-07,SPLIT,BBDC4,3.0,2.0,2/3
225,0.0145412,1330693200,2012-03-02,DIVIDEND,BBDC3,,,
226,0.017249,1572868800,2019-11-04,DIVIDEND,BBDC3,,,
227,0.01725,1480680000,2016-12-02,DIVIDEND,BBDC3,,,
228,0.018818,1372770000,2013-07-02,DIVIDEND,BBDC3,,,
229,0.01725,1507035600,2017-10-03,DIVIDEND,BBDC3,,,
230,0.01725,1456923600,2016-03-02,DIVIDEND,BBDC3,,,
231,0.0132193,1296648000,2011-02-02,DIVIDEND,BBDC3,,,
232,0.0159953,1364907600,2013-04-02,DIVIDEND,BBDC3,,,
233,0.01725,1499173200,2017-07-04,DIVIDEND,BBDC3,,,
234,0.0188,1407157200,2014-08-04,DIVIDEND,BBDC3,,,
235,0.0132193,1288785600,2010-11-03,DIVIDEND,BBDC3,,,
236,0.017249,1522760400,2018-04-03,DIVIDEND,BBDC3,,,
237,0.0159953,1346763600,2012-09-04,DIVIDEND,BBDC3,,,
238,0.0145412,1322827200,2011-12-02,DIVIDEND,BBDC3,,,
239,0.017249,1549281600,2019-02-04,DIVIDEND,BBDC3,,,
240,0.143154,1423569600,2015-02-10,DIVIDEND,BBDC3,,,
241,0.01725,1472821200,2016-09-02,DIVIDEND,BBDC3,,,
242,0.256722,1482408000,2016-12-22,DIVIDEND,BBDC3,,,
243,0.01322,1246539600,2009-07-02,DIVIDEND,BBDC3,,,
244,0.00901,1204635600,2008-03-04,DIVIDEND,BBDC3,,,
245,0.01725,1449057600,2015-12-02,DIVIDEND,BBDC3,,,
246,0.017249,1541419200,2018-11-05,DIVIDEND,BBDC3,,,
247,0.188185,1341320400,2012-07-03,DIVIDEND,BBDC3,,,
248,0.01725,1475586000,2016-10-04,DIVIDEND,BBDC3,,,
249,0.0159953,1357214400,2013-01-03,DIVIDEND,BBDC3,,,
250,0.0159953,1333458000,2012-04-03,DIVIDEND,BBDC3,,,
251,0.01725,1483444800,2017-01-03,DIVIDEND,BBDC3,,,
252,0.0145412,1314968400,2011-09-02,DIVIDEND,BBDC3,,,
253,0.01322,1257336000,2009-11-04,DIVIDEND,BBDC3,,,
254,0.01725,1491310800,2017-04-04,DIVIDEND,BBDC3,,,
255,0.017249,1533214800,2018-08-02,DIVIDEND,BBDC3,,,
256,0.01202,1222952400,2008-10-02,DIVIDEND,BBDC3,,,
257,0.01725,1441198800,2015-09-02,DIVIDEND,BBDC3,,,
258,0.018818,1383566400,2013-11-04,DIVIDEND,BBDC3,,,
259,0.018818,1399294800,2014-05-05,DIVIDEND,BBDC3,,,
260,0.018818,1349182800,2012-10-02,DIVIDEND,BBDC3,,,
261,0.172525,1466686800,2016-06-23,DIVIDEND,BBDC3,,,
262,0.017249,1525352400,2018-05-03,DIVIDEND,BBDC3,,,
263,0.00901,1199361600,2008-01-03,DIVIDEND,BBDC3,,,
264,0.0132193,1299070800,2011-03-02,DIVIDEND,BBDC3,,,
265,0.0132193,1309784400,2011-07-04,DIVIDEND,BBDC3,,,
266,0.01725,1435842000,2015-07-02,DIVIDEND,BBDC3,,,
267,0.017249,1543924800,2018-12-04,DIVIDEND,BBDC3,,,
268,0.13219,1233662400,2009-02-03,DIVIDEND,BBDC3,,,
269,0.018818,1394110800,2014-03-06,DIVIDEND,BBDC3,,,
270,0.0132193,1301922000,2011-04-04,DIVIDEND,BBDC3,,,
271,0.017249,1519995600,2018-03-02,DIVIDEND,BBDC3,,,
272,0.017249,1562072400,2019-07-02,DIVIDEND,BBDC3,,,
273,0.01725,1427979600,2015-04-02,DIVIDEND,BBDC3,,,
274,0.01322,1241528400,2009-05-05,DIVIDEND,BBDC3,,,
275,0.01725,1501678800,2017-08-02,DIVIDEND,BBDC3,,,
276,0.01725,1459774800,2016-04-04,DIVIDEND,BBDC3,,,
277,0.0159953,1367586000,2013-05-03,DIVIDEND,BBDC3,,,
278,0.0188,1409662800,2014-09-02,DIVIDEND,BBDC3,,,
279,0.01725,1493816400,2017-05-03,DIVIDEND,BBDC3,,,
280,0.01322,1267534800,2010-03-02,DIVIDEND,BBDC3,,,
281,0.018818,1401800400,2014-06-03,DIVIDEND,BBDC3,,,
282,0.017249,1536066000,2018-09-04,DIVIDEND,BBDC3,,,
283,0.01725,1496408400,2017-06-02,DIVIDEND,BBDC3,,,
284,0.017249,1538485200,2018-10-02,DIVIDEND,BBDC3,,,
285,0.01322,1270472400,2010-04-05,DIVIDEND,BBDC3,,,
286,0.0188,1420459200,2015-01-05,DIVIDEND,BBDC3,,,
287,0.017249,1530622800,2018-07-03,DIVIDEND,BBDC3,,,
288,0.01202,1220360400,2008-09-02,DIVIDEND,BBDC3,,,
289,0.017249,1546516800,2019-01-03,DIVIDEND,BBDC3,,,
290,0.017249,1554210000,2019-04-02,DIVIDEND,BBDC3,,,
291,0.01322,1243947600,2009-06-02,DIVIDEND,BBDC3,,,
292,0.018818,1378213200,2013-09-03,DIVIDEND,BBDC3,,,
293,0.13219,1277816400,2010-06-29,DIVIDEND,BBDC3,,,
294,0.0132193,1286197200,2010-10-04,DIVIDEND,BBDC3,,,
295,0.01725,1446638400,2015-11-04,DIVIDEND,BBDC3,,,
296,0.188201,1403701200,2014-06-25,DIVIDEND,BBDC3,,,
297,0.01322,1236085200,2009-03-03,DIVIDEND,BBDC3,,,
298,0.0159953,1354622400,2012-12-04,DIVIDEND,BBDC3,,,
299,0.0159953,1370350800,2013-06-04,DIVIDEND,BBDC3,,,
300,0.0188,1412254800,2014-10-02,DIVIDEND,BBDC3,,,
301,0.01725,1464872400,2016-06-02,DIVIDEND,BBDC3,,,
302,0.01322,1262692800,2010-01-05,DIVIDEND,BBDC3,,,
303,0.018818,1388750400,2014-01-03,DIVIDEND,BBDC3,,,
304,0.0132193,1280840400,2010-08-03,DIVIDEND,BBDC3,,,
305,0.172494,1499086800,2017-07-03,DIVIDEND,BBDC3,,,
306,0.017249,1514980800,2018-01-03,DIVIDEND,BBDC3,,,
307,0.018818,1422964800,2015-02-03,DIVIDEND,BBDC3,,,
308,0.01725,1438693200,2015-08-04,DIVIDEND,BBDC3,,,
309,0.017249,1564750800,2019-08-02,DIVIDEND,BBDC3,,,
310,0.01322,1254488400,2009-10-02,DIVIDEND,BBDC3,,,
311,0.0188,1415102400,2014-11-04,DIVIDEND,BBDC3,,,
312,0.01725,1430830800,2015-05-05,DIVIDEND,BBDC3,,,
313,0.0159953,1338814800,2012-06-04,DIVIDEND,BBDC3,,,
314,0.018818,1380718800,2013-10-02,DIVIDEND,BBDC3,,,
315,0.017249,1556888400,2019-05-03,DIVIDEND,BBDC3,,,
316,0.00601,1207141200,2008-04-02,DIVIDEND,BBDC3,,,
317,0.01725,1425387600,2015-03-03,DIVIDEND,BBDC3,,,
318,0.017249,1559653200,2019-06-04,DIVIDEND,BBDC3,,,
319,0.017249,1575374400,2019-12-03,DIVIDEND,BBDC3,,,
320,0.01322,1249390800,2009-08-04,DIVIDEND,BBDC3,,,
321,0.01322,1265112000,2010-02-02,DIVIDEND,BBDC3,,,
322,0.017249,1551877200,2019-03-06,DIVIDEND,BBDC3,,,
323,0.01725,1467637200,2016-07-04,DIVIDEND,BBDC3,,,
324,0.018818,1375448400,2013-08-02,DIVIDEND,BBDC3,,,
325,0.0132193,1283432400,2010-09-02,DIVIDEND,BBDC3,,,
326,0.01322,1272978000,2010-05-04,DIVIDEND,BBDC3,,,
327,0.018818,1391515200,2014-02-04,DIVIDEND,BBDC3,,,
328,0.767707,1450353600,2015-12-17,DIVIDEND,BBDC3,,,
329,0.017249,1517572800,2018-02-02,DIVIDEND,BBDC3,,,
330,0.0132193,1291291200,2010-12-02,DIVIDEND,BBDC3,,,
331,0.0132193,1307019600,2011-06-02,DIVIDEND,BBDC3,,,
332,0.12018,1214830800,2008-06-30,DIVIDEND,BBDC3,,,
333,0.01202,1215003600,2008-07-02,DIVIDEND,BBDC3,,,
334,0.01725,1509710400,2017-11-03,DIVIDEND,BBDC3,,,
335,0.0188,1417521600,2014-12-02,DIVIDEND,BBDC3,,,
336,0.01725,1433250000,2015-06-02,DIVIDEND,BBDC3,,,
337,0.017249,1567515600,2019-09-03,DIVIDEND,BBDC3,,,
338,0.0145412,1325592000,2012-01-03,DIVIDEND,BBDC3,,,
339,0.017249,1570021200,2019-10-02,DIVIDEND,BBDC3,,,
340,0.017249,1528117200,2018-06-04,DIVIDEND,BBDC3,,,
341,0.01202,1217854800,2008-08-04,DIVIDEND,BBDC3,,,
342,0.0159953,1343912400,2012-08-02,DIVIDEND,BBDC3,,,
343,0.172536,1561986000,2019-07-01,DIVIDEND,BBDC3,,,
344,0.01725,1451995200,2016-01-05,DIVIDEND,BBDC3,,,
345,0.01322,1251896400,2009-09-02,DIVIDEND,BBDC3,,,
346,0.01202,1209992400,2008-05-05,DIVIDEND,BBDC3,,,
347,0.017249,1578052800,2020-01-03,DIVIDEND,BBDC3,,,
348,0.0664857,1360152000,2013-02-06,DIVIDEND,BBDC3,,,
349,0.01725,1486036800,2017-02-02,DIVIDEND,BBDC3,,,
350,0.01454,1259755200,2009-12-02,DIVIDEND,BBDC3,,,
351,0.01322,1275483600,2010-06-02,DIVIDEND,BBDC3,,,
352,0.0159953,1352116800,2012-11-05,DIVIDEND,BBDC3,,,
353,0.5903,1419336000,2014-12-23,DIVIDEND,BBDC3,,,
354,0.172629,1435064400,2015-06-23,DIVIDEND,BBDC3,,,
355,0.0145412,1317733200,2011-10-04,DIVIDEND,BBDC3,,,
356,0.01725,1478174400,2016-11-03,DIVIDEND,BBDC3,,,
357,0.017249,1443790800,2015-10-02,DIVIDEND,BBDC3,,,
358,0.0132193,1294142400,2011-01-04,DIVIDEND,BBDC3,,,
359,0.018818,1362402000,2013-03-04,DIVIDEND,BBDC3,,,
360,0.018818,1404306000,2014-07-02,DIVIDEND,BBDC3,,,
361,0.01725,1512388800,2017-12-04,DIVIDEND,BBDC3,,,
362,0.0132193,1312290000,2011-08-02,DIVIDEND,BBDC3,,,
363,0.01725,1488459600,2017-03-02,DIVIDEND,BBDC3,,,
364,0.00901,1202299200,2008-02-06,DIVIDEND,BBDC3,,,
365,0.0145412,1328184000,2012-02-02,DIVIDEND,BBDC3,,,
366,0.172465,1530536400,2018-07-02,DIVIDEND,BBDC3,,,
367,0.018818,1396443600,2014-04-02,DIVIDEND,BBDC3,,,
368,0.0132193,1304427600,2011-05-03,DIVIDEND,BBDC3,,,
369,0.01725,1454414400,2016-02-02,DIVIDEND,BBDC3,,,
370,0.01725,1470142800,2016-08-02,DIVIDEND,BBDC3,,,
371,0.0145412,1320321600,2011-11-03,DIVIDEND,BBDC3,,,
372,0.0159953,1336050000,2012-05-03,DIVIDEND,BBDC3,,,
373,0.01725,1462280400,2016-05-03,DIVIDEND,BBDC3,,,
374,0.01322,1278075600,2010-07-02,DIVIDEND,BBDC3,,,
375,0.01725,1504530000,2017-09-04,DIVIDEND,BBDC3,,,
376,,1364302800,2013-03-26,SPLIT,BBDC3,11.0,10.0,10/11
377,,1132747200,2005-11-23,SPLIT,BBDC3,200.0,100.0,100/200
378,,1460984400,2016-04-18,SPLIT,BBDC3,11.0,10.0,10/11
379,,1427461200,2015-03-27,SPLIT,BBDC3,12.0,10.0,10/12
380,,1207573200,2008-04-07,SPLIT,BBDC3,3.0,2.0,2/3
381,,1279112400,2010-07-14,SPLIT,BBDC3,1.0,1.0,1/1
382,,1079960400,2004-03-22,SPLIT,BBDC3,1.0,10000.0,10000/1
383,,1522674000,2018-04-02,SPLIT,BBDC3,11.0,10.0,10/11
